CATEGORIANIIF;MONEDA;CARTERA;EMISOR;NEMOEMISOR;NEMOTECNICO;ISIN;COMPRA;VENCIMIENTO;MONTOFACIAL;REFERENCIA;CODINVENTARIO;CALIFICADORASUGEF;CALIFICACIONSUGEF;MOODYS;S&P;FITCH CRI;FITCH INTER.;SCRC;VMKTCRC
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/10/2019;04/28/2021;268000000.00;TV2927-1;11887;S&P INTER.;B;B2;B;;B+;;279839691.020000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/10/2019;04/28/2021;1732000000.00;TV2928-1;11888;S&P INTER.;B;B2;B;;B+;;1808516212.120000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/11/2019;04/28/2021;31650000.00;TV2938-1;11895;S&P INTER.;B;B2;B;;B+;;33050048.570000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/11/2019;04/28/2021;750000000.00;TV2939-1;11896;S&P INTER.;B;B2;B;;B+;;783176506.520000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/13/2019;04/28/2021;300000000.00;TV2968-1;11931;S&P INTER.;B;B2;B;;B+;;313558357.780000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/19/2019;04/28/2021;172000000.00;TV3030-1;12005;S&P INTER.;B;B2;B;;B+;;179825021.300000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;01/14/2020;04/28/2021;1250000000.00;TV3090-1;12115;S&P INTER.;B;B2;B;;B+;;1306931557.590000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;11/13/2019;10/27/2021;350000000.00;TV2761-1;11610;S&P INTER.;B;B2;B;;B+;;365738950.080000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;11/13/2019;10/27/2021;500000000.00;TV2755-1;11604;S&P INTER.;B;B2;B;;B+;;522484214.400000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;11/13/2019;10/27/2021;500000000.00;TV2757-1;11606;S&P INTER.;B;B2;B;;B+;;522484214.400000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;12/10/2019;10/27/2021;1000000000.00;TV2931-1;11891;S&P INTER.;B;B2;B;;B+;;1055782198.570000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;12/18/2019;10/27/2021;1000000000.00;TV3018-1;11987;S&P INTER.;B;B2;B;;B+;;1056179985.530000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;01/14/2020;10/27/2021;1000000000.00;TV3089-1;12114;S&P INTER.;B;B2;B;;B+;;1056583190.050000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;01/21/2020;10/27/2021;2000000000.00;TV3108-1;12160;S&P INTER.;B;B2;B;;B+;;2113437015.550000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;01/21/2020;10/27/2021;3250000000.00;TV3107-1;12159;S&P INTER.;B;B2;B;;B+;;3434335150.270000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;02/24/2020;10/27/2021;500000000.00;TV3237-1;12428;S&P INTER.;B;B2;B;;B+;;528568163.430000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;02/24/2020;10/27/2021;2500000000.00;TV3235-1;12426;S&P INTER.;B;B2;B;;B+;;2642840817.160000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;03/06/2020;10/27/2021;67000000.00;TV3309-1;12547;S&P INTER.;B;B2;B;;B+;;70903735.010000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5038;06/11/2020;10/27/2021;22000000.00;TV3654-1;13115;S&P INTER.;B;B2;B;;B+;;23566327.580000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5079;12/18/2019;01/12/2022;1000000000.00;TV3013-1;11982;S&P INTER.;B;B2;B;;B+;;1081178984.660000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5079;12/18/2019;01/12/2022;1000000000.00;TV3015-1;11984;S&P INTER.;B;B2;B;;B+;;1081178984.660000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5079;02/26/2020;01/12/2022;5000000000.00;TV3255-1;12461;S&P INTER.;B;B2;B;;B+;;5445181244.670000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5079;06/04/2020;01/12/2022;500000000.00;TV3629-1;13076;S&P INTER.;B;B2;B;;B+;;550194941.410000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5079;06/19/2020;01/12/2022;2000000000.00;TV3678-1;13157;S&P INTER.;B;B2;B;;B+;;2210100024.020000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00431;08/06/2018;07/15/2020;50000000.00;TV1705-1;6756;S&P INTER.;B;B2;B;;B+;;50625472.220000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00432;08/06/2018;09/14/2020;50000000.00;TV1707-1;6758;S&P INTER.;B;B2;B;;B+;;50646555.560000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00433;08/06/2018;08/14/2020;50000000.00;TV1706-1;6757;S&P INTER.;B;B2;B;;B+;;50646555.560000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00444;11/22/2018;11/16/2020;50000000.00;TV1862-1;8063;S&P INTER.;B;B2;B;;B+;;50490858.330000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00445;11/22/2018;12/15/2020;50000000.00;TV1863-1;8064;S&P INTER.;B;B2;B;;B+;;50508300.000000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00446;11/22/2018;01/15/2021;50000000.00;TV1864-1;8065;S&P INTER.;B;B2;B;;B+;;50508300.000000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00447;11/22/2018;02/15/2021;50000000.00;TV1865-1;8066;S&P INTER.;B;B2;B;;B+;;50508300.000000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;CDP;0NRBNCR00448;11/22/2018;03/15/2021;50000000.00;TV1866-1;8067;S&P INTER.;B;B2;B;;B+;;50508300.000000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;T0¢;0NRBNCR00470;03/10/2020;12/11/2020;10299455000.00;TV3322-1;12572;S&P INTER.;B;;B;;B;;10121588970.160000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;T0¢;0NRBNCR00472;03/10/2020;09/11/2020;15261545000.00;TV3323-1;12573;S&P INTER.;B;;B;;B;;15159858475.780000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;TF CRC;0NRBNCR00460;07/03/2019;07/15/2021;50000000.00;TV2372-1;10269;S&P INTER.;B;B2;B;;B+;;51053433.330000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;TF CRC;0NRBNCR00461;07/03/2019;08/16/2021;50000000.00;TV2373-1;10270;S&P INTER.;B;B2;B;;B+;;51053433.330000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;TF¢;0NRBNCR00471;03/10/2020;03/11/2021;5000000000.00;TV3324-1;12574;S&P INTER.;B;B2;B;;B+;;5012395833.330000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;TFCOL;0NRBNCR00455;04/23/2019;04/15/2021;50000000.00;TV2197-1;9500;S&P INTER.;B;B2;B;;B+;;50812411.110000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;TFCOL;0NRBNCR00456;04/23/2019;05/17/2021;50000000.00;TV2198-1;9501;S&P INTER.;B;B2;B;;B+;;50851511.110000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;TFCOL;0NRBNCR00457;04/23/2019;06/15/2021;50000000.00;TV2199-1;9502;S&P INTER.;B;B2;B;;B+;;50851511.110000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;11/27/2019;07/19/2023;150000000.00;TV2841-1;11776;S&P INTER.;B;B2;B;;B+;;165296086.230000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;11/27/2019;07/19/2023;250000000.00;TV2840-1;11775;S&P INTER.;B;B2;B;;B+;;275493477.060000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;11/27/2019;07/19/2023;280000000.00;TV2843-1;11778;S&P INTER.;B;B2;B;;B+;;308552694.300000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;12/03/2019;07/19/2023;211700000.00;TV2873-1;11820;S&P INTER.;B;B2;B;;B+;;233355658.080000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;12/16/2019;07/19/2023;1000000000.00;TV2975-1;11943;S&P INTER.;B;B2;B;;B+;;1102372745.020000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;12/16/2019;07/19/2023;1247050000.00;TV2977-1;11945;S&P INTER.;B;B2;B;;B+;;1374713931.670000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B18I5;02/13/2020;07/19/2023;1500000000.00;TV3181-1;12310;S&P INTER.;B;B2;B;;B+;;1657771682.310000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B19I3;12/05/2019;07/21/2021;100000000.00;TV2894-1;11843;S&P INTER.;B;B2;B;;B+;;107341339.470000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B25H2;11/12/2019;09/22/2021;150000000.00;TV2734-1;11579;S&P INTER.;B;B2;B;;B+;;159161177.770000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B25H2;11/29/2019;09/22/2021;381250000.00;TV2864-1;11806;S&P INTER.;B;B2;B;;B+;;406554315.150000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B25H2;01/23/2020;09/22/2021;125000000.00;TV3115-1;12180;S&P INTER.;B;B2;B;;B+;;134375654.900000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B35I9;10/11/2019;10/20/2021;650000000.00;TV2627-1;11324;S&P INTER.;B;B2;B;;B+;;676781651.600000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B35I9;11/12/2019;10/20/2021;500000000.00;TV2739-1;11584;S&P INTER.;B;B2;B;;B+;;528081559.220000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B35I9;11/13/2019;10/20/2021;500000000.00;TV2745-1;11594;S&P INTER.;B;B2;B;;B+;;528107532.420000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;12/05/2019;07/27/2022;300000000.00;TV2896-1;11845;S&P INTER.;B;B2;B;;B+;;334531695.710000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;12/05/2019;07/27/2022;350000000.00;TV2895-1;11844;S&P INTER.;B;B2;B;;B+;;390286978.330000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;12/17/2019;07/27/2022;50000000.00;TV2998-1;11966;S&P INTER.;B;B2;B;;B+;;55758968.280000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;02/19/2020;07/27/2022;94000000.00;TV3200-1;12363;S&P INTER.;B;B2;B;;B+;;105851084.570000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;02/19/2020;07/27/2022;906000000.00;TV3201-1;12364;S&P INTER.;B;B2;B;;B+;;1020224283.170000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;02/20/2020;07/27/2022;165000000.00;TV3220-1;12389;S&P INTER.;B;B2;B;;B+;;185802768.770000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;02/20/2020;07/27/2022;500000000.00;TV3221-1;12390;S&P INTER.;B;B2;B;;B+;;563038693.260000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;03/03/2020;07/27/2022;300000000.00;TV3286-1;12508;S&P INTER.;B;B2;B;;B+;;338926086.100000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B41I7;03/03/2020;07/27/2022;945000000.00;TV3290-1;12511;S&P INTER.;B;B2;B;;B+;;1067617171.220000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B45H0;11/15/2019;09/27/2023;125000000.00;TV2772-1;11643;S&P INTER.;B;B2;B;;B+;;135394005.700000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B45H0;12/03/2019;09/27/2023;292000000.00;TV2874-1;11821;S&P INTER.;B;B2;B;;B+;;317565640.110000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B45H0;12/05/2019;09/27/2023;390000000.00;TV2900-1;11849;S&P INTER.;B;B2;B;;B+;;424178319.050000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B45H0;12/12/2019;09/27/2023;281400000.00;TV2958-1;11919;S&P INTER.;B;B2;B;;B+;;306020859.890000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B45H0;12/12/2019;09/27/2023;627200000.00;TV2959-1;11920;S&P INTER.;B;B2;B;;B+;;682076344.430000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B45H0;02/12/2020;09/27/2023;3000000000.00;TV3174-1;12298;S&P INTER.;B;B2;B;;B+;;3293012990.720000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B57H5;12/12/2019;12/22/2021;30000000.00;TV2955-1;11916;S&P INTER.;B;B2;B;;B+;;30162238.860000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B57H5;12/18/2019;12/22/2021;1000000000.00;TV3016-1;11985;S&P INTER.;B;B2;B;;B+;;1007734409.250000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;GOBIERNO DE COSTA RICA;G;tp;CRG0000B57H5;01/23/2020;12/22/2021;495075000.00;TV3117-1;12182;S&P INTER.;B;B2;B;;B+;;505128322.900000
